Deal Registration: Deal Registration Name,Deal Registration: Created Date,Opportunity Owner,Inside Sales Rep,Sales Territory,Account Name,Billing Country,Partner Account,Opportunity Type,Stage,Amount (converted),Close Date
DR-1026,25/09/2024,Tom Whitfield,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 226 Group,Sweden,Econocom,Competitive Migration,0 - Closed Lost,184000,2025-03-25
DR-1783,2025-08-04,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 183 AB,Austria,SHI EMEA,Add-On,6 - Negotiation,"EUR 41,000.00",2025-11-12
DR-1439,2025-03-22,Yannis Papadakis,,Iberia,Account 239 GmbH,Greece,Econocom,New Business,0 - Closed Lost,"EUR 83,000.00",2025-04-20
DR-1373,24 Feb 2025,Yannis Papadakis,,Iberia,Account 173 Group,Israel,Northbridge Data,Renewal,7 - Closed Won,"EUR 233,000.00",2025-04-26
DR-1719,01 Jul 2025,Aoife Brennan,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 119 SpA,Ireland,Northbridge Data,New Business,0 - Closed Lost,"EUR 145,000.00",2025-11-28
DR-2282,2026-03-28,Katharina Vogel,,EMEA - DACH - Enterprise,Account 282 Holdings,Austria,Computacenter,New Logo,1 - Submitted,"$52,000",2026-07-08
DR-1650,2025-06-26,Callum Reid,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 050 Ltd,Finland,Arrow ECS,New Business,,170000,2025-11-04
DR-1481,11/04/2025,Tom Whitfield,Dan Eriksen,UKI/Nordics,Account 281 GmbH,Denmark,Softcat,New Business,Expired,"$20,000",2025-07-10
DR-2397,02 May 2026,Sofia Almeida,Chiara Bruno,SEMEA,Account 397 GmbH,France,TD Synnex,New Logo,2 - Approved,"$28,000",2026-10-12
DR-1015,15/09/2024,Aoife Brennan,Dan Eriksen,,Account 215 Ltd,Norway,Bechtle AG,Migration,1 - Submitted,"$73,000",2024-11-06
DR-1505,07/04/2025,Elena Castells,,Southern Europe,Account 305 Holdings,Israel,Ingram Micro,Renewal,0 - Closed Lost,"$45,000",2025-06-16
DR-1694,2025-06-07,Lukas Brandt,,EMEA - DACH - Enterprise,Account 094 SAS,Switzerland,Bechtle AG,New Business,Expired,"$238,000",2025-08-02
DR-2542,2026-07-06,Julien Marchand,Paulo Neves,Southern Europe,Account 142 Holdings,Italy,Econocom,Existing Business - Renewal,5 - Proposal,"$59,000",2027-01-14
DR-1072,17/09/2024,Stefan Huber,Tobias Frank,,Account 272 Holdings,Germany,TD Synnex,New Business,Rejected - Duplicate,95000,2024-10-12
DR-1717,19 Jul 2025,Callum Reid,Priya Raman,UKI & Nordics,Account 117 AB,Norway,TD Synnex,Renewal,7 - Closed Won,63000,2025-12-02
DR-2094,2026-01-11,Marco Ferrari,Paulo Neves,Iberia,Account 094 Group,Italy,Cancom,New Logo,Expired,40000,2026-04-21
DR-2662,2024-03-08,Lukas Brandt,Tobias Frank,DACH,Old Account 008,Germany,Northbridge Data,New Business,7 - Closed Won,120000,2024-09-30
DR-1862,2025-09-12,Stefan Huber,Tobias Frank,EMEA - Other,Account 262 GmbH,Switzerland,SHI EMEA,Add-On,,162000,2025-11-12
DR-1658,2025-06-10,Tom Whitfield,Priya Raman,UKI/Nordics,Account 058 SAS,Finland,Computacenter,Migration,7 - Closed Won,"EUR 138,000.00",2025-12-22
DR-2038,24 Dec 2025,Julien Marchand,,Iberia,Account 038 Group,Italy,SHI EMEA,Renewal,0 - Closed Lost,,2026-04-09
DR-1539,24/04/2025,Stefan Huber,Lena Wirth,DACH,Account 339 Ltd,Germany,TD Synnex,Existing Business - Add-On,7 - Closed Won,"EUR 52,000.00",2025-08-30
DR-2272,2026-03-03,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 272 Holdings,Germany,Ingram Micro,Upsell,0 - Closed Lost,171000,2026-08-05
DR-1203,2024-11-16,Lukas Brandt,,EMEA - DACH - Enterprise,Account 003 SpA,Switzerland,Northbridge Data,New Business,0 - Closed Lost,168000,2025-05-01
DR-1385,23 Feb 2025,Lukas Brandt,Tobias Frank,DACH,Account 185 SAS,Germany,Arrow ECS,New Business,7 - Closed Won,"EUR 20,000.00",2025-03-25
DR-2061,26 Dec 2025,Lukas Brandt,Tobias Frank,DACH,Account 061 SAS,Germany,Northbridge Data,Renewal,7 - Closed Won,"EUR 69,000.00",2026-03-04
DR-2184,2026-02-08,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 184 Holdings,Austria,TD Synnex,New Logo,2 - Approved,184000,2026-07-04
DR-2417,20 May 2026,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 017 GmbH,Austria,Econocom,New Logo,4 - Technical Validation,"EUR 123,000.00",2026-08-28
DR-1387,07 Feb 2025,Stefan Huber,Tobias Frank,EMEA - DACH - Enterprise,Account 187 AB,Austria,Ingram Micro,Migration,0 - Closed Lost,"EUR 231,000.00",2025-07-31
DR-1459,2025-03-08,Katharina Vogel,,dach pod,Account 259 Group,Switzerland,Arrow ECS,New Business,7 - Closed Won,"$15,000",2025-05-29
DR-2079,2026-01-18,Tom Whitfield,Dan Eriksen,UKI & Nordics,Account 079 SAS,United Kingdom,TD Synnex,New Logo,2 - Approved,"$211,000",2026-07-09
DR-2203,2026-03-01,Callum Reid,Mollie Shaw,UKI/Nordics,Account 203 GmbH,Sweden,Cancom,Existing Business - Add-On,5 - Proposal,"EUR 63,000.00",2026-04-02
DR-2247,2026-03-13,Marco Ferrari,Paulo Neves,Iberia,Account 247 AB,Portugal,TD Synnex,Existing Business - Renewal,Expired,,2026-08-28
DR-1839,2025-09-04,Marco Ferrari,Chiara Bruno,Southern Europe,Account 239 SpA,France,Cancom,Existing Business - Renewal,0 - Closed Lost,"EUR 198,000.00",2025-12-06
DR-1176,2024-11-16,Marco Ferrari,Paulo Neves,SEMEA,Account 376 AB,Spain,Arrow ECS,Add-On,0 - Closed Lost,204000,2024-12-30
DR-2610,2026-08-03,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 210 Ltd,Germany,Computacenter,Existing Business - Renewal,1 - Submitted,"$85,000",2026-09-21
DR-1978,18/11/2025,Marco Ferrari,Paulo Neves,SEMEA,Account 378 Group,Greece,Northbridge Data,New Logo,7 - Closed Won,8000,2026-05-26
DR-1492,22/04/2025,Aoife Brennan,,UKI/Nordics,Account 292 Ltd,Finland,TD Synnex,Migration,0 - Closed Lost,213000,2025-06-18
DR-1308,2025-01-25,Lukas Brandt,Tobias Frank,DACH,Account 108 Holdings,Switzerland,Ingram Micro,Renewal,0 - Closed Lost,"$62,000",2025-06-08
DR-1909,2025-10-06,Elena Castells,Chiara Bruno,Iberia,Account 309 AB,Italy,Econocom,Existing Business - Renewal,5 - Proposal,235000,2025-12-09
DR-1258,2024-12-02,Lukas Brandt,Lena Wirth,dach pod,Account 058 SpA,Switzerland,Arrow ECS,New Business,0 - Closed Lost,"$64,000",2025-01-24
DR-2455,17/06/2026,Sigrid Halvorsen,Priya Raman,UKI & Nordics,Account 055 Ltd,Norway,Bechtle AG,Existing Business - Renewal,2 - Approved,11000,2026-09-13
DR-1324,2025-01-14,Stefan Huber,,DACH,Account 124 GmbH,Switzerland,TD Synnex,New Business,7 - Closed Won,"EUR 49,000.00",2025-07-13
DR-2023,20 Dec 2025,Erik Lindqvist,,EMEA - UKI & Nordics - Commercial,Account 023 Group,United Kingdom,Ingram Micro,New Logo,7 - Closed Won,118000,2026-05-05
DR-1715,06 Jul 2025,Sigrid Halvorsen,Priya Raman,UKI/Nordics,Account 115 GmbH,Denmark,Northbridge Data,New Business,7 - Closed Won,"$68,000",2025-08-16
DR-1491,08/04/2025,Niamh O'Connor,Priya Raman,UKI & Nordics,Account 291 AB,Ireland,Arrow ECS,Add-On,7 - Closed Won,52000,2025-10-16
DR-1744,04 Jul 2025,Katharina Vogel,Tobias Frank,DACH,Account 144 SAS,Germany,TD Synnex,New Business,7 - Closed Won,"$12,000",2025-11-04
DR-1289,2025-01-26,Elena Castells,,SEMEA,Account 089 Holdings,France,SHI EMEA,Existing Business - Renewal,7 - Closed Won,"EUR 122,000.00",2025-05-14
DR-2034,21 Dec 2025,Yannis Papadakis,,EMEA - Southern Europe,Account 034 SpA,Greece,SHI EMEA,New Logo,5 - Proposal,"EUR 73,000.00",2026-02-27
DR-1035,04/09/2024,Yannis Papadakis,Chiara Bruno,,Account 235 Holdings,Italy,Econocom,New Business,Rejected - Duplicate,132000,2024-10-27
DR-2378,11 May 2026,Aoife Brennan,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 378 Ltd,Finland,Bechtle AG,New Logo,4 - Technical Validation,"$157,000",2026-09-22
DR-2636,2026-01-03,Channel Queue,,DACH,Queued Account 022,Germany,Northbridge Data,New Business,1 - Submitted,,
DR-1809,2025-09-02,Sigrid Halvorsen,Priya Raman,UKI/Nordics,Account 209 SAS,Finland,Computacenter,New Business,2 - Approved,"EUR 206,000.00",2025-12-31
DR-1054,26/09/2024,Lukas Brandt,Lena Wirth,,Account 254 SAS,Austria,Softcat,New Business,0 - Closed Lost,"$101,000",2024-12-31
DR-2086,2026-01-08,Sofia Almeida,,Southern Europe,Account 086 Holdings,Greece,Computacenter,New Logo,7 - Closed Won,"$217,000",2026-03-18
DR-2644,2024-11-05,Deal Reg Queue,,UKI & Nordics,Queued Account 030,Germany,Econocom,New Business,1 - Submitted,,
DR-2130,2026-02-20,Tom Whitfield,Dan Eriksen,Nordics,Account 130 GmbH,Finland,Cancom,New Logo,Rejected - Duplicate,"EUR 175,000.00",2026-07-11
DR-2170,2026-02-17,Lukas Brandt,,EMEA - DACH - Enterprise,Account 170 GmbH,Switzerland,Softcat,Existing Business - Add-On,7 - Closed Won,168000,2026-07-25
DR-1306,2025-01-23,Marco Ferrari,Chiara Bruno,EMEA - Southern Europe,Account 106 Group,Italy,Arrow ECS,New Business,7 - Closed Won,"$49,000",2025-07-09
DR-1624,2025-05-26,Stefan Huber,Tobias Frank,dach pod,Account 024 AB,Switzerland,Softcat,Renewal,Rejected - Duplicate,,2025-11-23
DR-1363,23 Feb 2025,Marco Ferrari,Chiara Bruno,SEMEA,Account 163 SpA,Greece,Northbridge Data,New Business,7 - Closed Won,"EUR 130,000.00",2025-08-29
DR-1675,2025-06-12,Elena Castells,Chiara Bruno,EMEA - Southern Europe,Account 075 SpA,Portugal,Bechtle AG,New Business,7 - Closed Won,"EUR 67,000.00",2025-09-11
DR-1904,2025-10-14,Sofia Almeida,Chiara Bruno,EMEA - Southern Europe,Account 304 Holdings,Israel,Arrow ECS,New Business,7 - Closed Won,"$45,000",2026-04-25
DR-1894,2025-10-18,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 294 AB,Ireland,Northbridge Data,New Business,Expired,"EUR 13,000.00",2026-02-03
DR-2264,2026-03-28,Lukas Brandt,,EMEA - DACH - Enterprise,Account 264 Ltd,Austria,SHI EMEA,Renewal,7 - Closed Won,"$143,000",2026-08-09
DR-2374,04 May 2026,Callum Reid,Priya Raman,Nordics,Account 374 GmbH,Sweden,Softcat,New Logo,3 - Discovery,76000,2026-09-06
DR-1818,2025-09-21,Tom Whitfield,Mollie Shaw,Nordics,Account 218 Group,United Kingdom,Bechtle AG,Existing Business - Renewal,7 - Closed Won,"$107,000",2026-02-06
DR-1985,11/11/2025,Lukas Brandt,,DACH,Account 385 SpA,Austria,Econocom,Renewal,1 - Submitted,"EUR 217,000.00",2026-04-02
DR-2238,2026-03-02,Marco Ferrari,Chiara Bruno,Southern Europe,Account 238 SpA,Italy,Northbridge Data,Upsell,Expired,"EUR 89,000.00",2026-06-19
DR-2308,2026-04-07,Julien Marchand,Paulo Neves,,Account 308 SpA,Spain,Cancom,Existing Business - Renewal,1 - Submitted,195000,2026-09-27
DR-1206,2024-11-13,Katharina Vogel,Lena Wirth,DACH,Account 006 Holdings,Switzerland,Softcat,Add-On,Rejected - Duplicate,"$63,000",2025-03-04
DR-1113,2024-10-12,Yannis Papadakis,Paulo Neves,SEMEA,Account 313 SAS,Portugal,TD Synnex,New Business,0 - Closed Lost,"$32,000",2025-01-24
DR-1982,15/11/2025,Julien Marchand,,EMEA - Southern Europe,Account 382 Holdings,Greece,Bechtle AG,New Logo,2 - Approved,23000,2025-12-17
DR-2632,2025-10-20,Channel Queue,,UKI & Nordics,Queued Account 018,Germany,TD Synnex,New Business,1 - Submitted,,
DR-2407,05 May 2026,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 007 Ltd,Switzerland,Ingram Micro,New Logo,7 - Closed Won,"$118,000",2026-10-06
DR-2021,10 Dec 2025,Callum Reid,,EMEA - UKI & Nordics - Commercial,Account 021 Ltd,Norway,Arrow ECS,New Logo,1 - Submitted,"$173,000",2026-01-28
DR-1201,2024-11-24,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 001 GmbH,Germany,Computacenter,Existing Business - Add-On,7 - Closed Won,"EUR 25,000.00",2025-05-05
DR-1626,2025-05-26,Lukas Brandt,Tobias Frank,EMEA - DACH - Enterprise,Account 026 Group,Austria,Computacenter,Existing Business - Add-On,7 - Closed Won,"EUR 115,000.00",2025-08-12
DR-1888,2025-10-07,Tom Whitfield,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 288 Holdings,Denmark,Ingram Micro,New Business,2 - Approved,"EUR 177,000.00",2026-03-22
DR-1878,2025-10-27,Sigrid Halvorsen,Priya Raman,UKI & Nordics,Account 278 Holdings,Sweden,Computacenter,New Business,0 - Closed Lost,102000,2026-04-01
DR-1701,2025-06-09,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 101 SpA,Austria,SHI EMEA,Existing Business - Add-On,7 - Closed Won,163000,2025-12-21
DR-1791,2025-08-13,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 191 Ltd,Austria,Ingram Micro,Add-On,7 - Closed Won,"EUR 109,000.00",2026-01-11
DR-2343,2026-04-22,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 343 SpA,Switzerland,Econocom,Upsell,5 - Proposal,"EUR 132,000.00",2026-06-24
DR-1508,15/04/2025,Yannis Papadakis,Chiara Bruno,EMEA - Southern Europe,Account 308 AB,Spain,Econocom,Renewal,0 - Closed Lost,"$204,000",2025-08-18
DR-2193,2026-03-19,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 193 Group,Ireland,Softcat,Existing Business - Renewal,4 - Technical Validation,"$12,000",2026-09-19
DR-2014,04 Dec 2025,Aoife Brennan,,Nordics,Account 014 AB,Denmark,Softcat,Renewal,Expired,"EUR 197,000.00",2026-02-12
DR-2290,2026-04-08,Erik Lindqvist,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 290 SpA,Ireland,Cancom,Upsell,0 - Closed Lost,"EUR 216,000.00",2026-08-14
DR-1295,2025-01-18,Yannis Papadakis,Paulo Neves,Southern Europe,Account 095 SAS,Italy,Ingram Micro,Existing Business - Add-On,0 - Closed Lost,"$69,000",2025-06-05
DR-2334,2026-04-17,Katharina Vogel,Tobias Frank,DACH,Account 334 Group,Switzerland,TD Synnex,New Logo,6 - Negotiation,"EUR 176,000.00",2026-05-15
DR-1545,10/04/2025,Lukas Brandt,Tobias Frank,DACH,Account 345 Ltd,Switzerland,Econocom,New Business,1 - Submitted,25000,2025-09-02
DR-1930,2025-10-16,Katharina Vogel,Tobias Frank,dach pod,Account 330 GmbH,Germany,Northbridge Data,New Business,0 - Closed Lost,,2026-02-11
DR-2163,2026-02-19,Marco Ferrari,,EMEA - Southern Europe,Account 163 Ltd,Italy,Northbridge Data,New Logo,3 - Discovery,"EUR 111,000.00",2026-03-21
DR-2368,09 May 2026,Erik Lindqvist,,Nordics,Account 368 SAS,United Kingdom,TD Synnex,New Logo,1 - Submitted,"$136,000",2026-10-21
DR-1476,2025-03-06,Lukas Brandt,,DACH,Account 276 Group,Germany,Econocom,Add-On,0 - Closed Lost,"EUR 13,000.00",2025-07-12
DR-1564,2025-05-07,Tom Whitfield,Mollie Shaw,UKI/Nordics,Account 364 SpA,Sweden,Northbridge Data,Renewal,7 - Closed Won,"EUR 57,000.00",2025-10-24
DR-2226,2026-03-28,Aoife Brennan,Mollie Shaw,Nordics,Account 226 Ltd,Norway,Bechtle AG,Renewal,3 - Discovery,"$58,000",2026-07-17
DR-2111,2026-01-15,Katharina Vogel,Lena Wirth,DACH,Account 111 SAS,Switzerland,Northbridge Data,Renewal,1 - Submitted,"EUR 212,000.00",2026-07-14
DR-2559,2026-07-23,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 159 SpA,Germany,Econocom,New Logo,6 - Negotiation,,2027-01-08
DR-1669,2025-06-20,Elena Castells,,EMEA - Other,Account 069 SpA,Israel,Cancom,Competitive Migration,7 - Closed Won,"EUR 186,000.00",2025-12-14
DR-2574,2026-08-14,Tom Whitfield,,UKI/Nordics,Account 174 Holdings,United Kingdom,Econocom,New Logo,4 - Technical Validation,"EUR 219,000.00",2026-10-31
DR-1921,2025-10-09,Lukas Brandt,,EMEA - DACH - Enterprise,Account 321 Group,Austria,Arrow ECS,New Business,Expired,"EUR 161,000.00",2025-12-26
DR-2517,09/06/2026,Katharina Vogel,Lena Wirth,,Account 117 AB,Austria,SHI EMEA,Existing Business - Renewal,7 - Closed Won,201000,2026-12-24
DR-1721,21 Jul 2025,Aoife Brennan,Dan Eriksen,Nordics,Account 121 Ltd,Norway,Cancom,Existing Business - Renewal,5 - Proposal,"$110,000",2025-09-23
DR-1659,2025-06-13,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 059 SpA,Norway,Northbridge Data,New Business,7 - Closed Won,"EUR 12,000.00",2025-12-17
DR-1511,03/04/2025,Yannis Papadakis,Paulo Neves,Iberia,Account 311 AB,Israel,SHI EMEA,New Business,Rejected - Duplicate,"$214,000",2025-08-13
DR-2214,2026-03-16,Erik Lindqvist,Dan Eriksen,UKI/Nordics,Account 214 Holdings,Norway,Cancom,New Logo,6 - Negotiation,93000,2026-04-26
DR-1574,2025-05-26,Tom Whitfield,Priya Raman,UKI/Nordics,Account 374 Holdings,Finland,Arrow ECS,Renewal,0 - Closed Lost,190000,2025-07-23
DR-1200,2024-11-14,Lukas Brandt,Lena Wirth,dach pod,Account 000 SpA,Austria,Arrow ECS,Competitive Migration,7 - Closed Won,"$151,000",2025-02-08
DR-2148,2026-02-18,Callum Reid,Priya Raman,Nordics,Account 148 Ltd,United Kingdom,SHI EMEA,New Logo,7 - Closed Won,"$43,000",2026-03-22
DR-1733,09 Jul 2025,Elena Castells,Paulo Neves,SEMEA,Account 133 AB,Italy,Northbridge Data,Existing Business - Renewal,7 - Closed Won,"$35,000",2025-09-17
DR-2618,2026-06-24,Channel Queue,,DACH,Queued Account 004,Germany,Softcat,New Business,1 - Submitted,,
DR-2671,2024-04-01,Lukas Brandt,Tobias Frank,DACH,Old Account 017,Germany,SHI EMEA,New Business,7 - Closed Won,120000,2024-09-30
DR-1311,2025-01-20,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 111 Holdings,Austria,Northbridge Data,Existing Business - Renewal,0 - Closed Lost,170000,2025-05-29
DR-2010,18 Dec 2025,Aoife Brennan,Priya Raman,UKI & Nordics,Account 010 AB,Finland,Cancom,Renewal,0 - Closed Lost,"$52,000",2026-06-02
DR-2133,2026-02-03,Aoife Brennan,Priya Raman,UKI/Nordics,Account 133 Ltd,United Kingdom,Northbridge Data,Add-On,1 - Submitted,"EUR 90,000.00",2026-06-21
DR-1863,2025-09-16,Katharina Vogel,Lena Wirth,dach pod,Account 263 Group,Germany,Softcat,Upsell,Rejected - Duplicate,"EUR 60,000.00",2025-12-05
DR-1741,03 Jul 2025,Katharina Vogel,Lena Wirth,DACH,Account 141 SAS,Switzerland,SHI EMEA,Upsell,Rejected - Duplicate,"$57,000",2025-10-14
DR-2514,22/06/2026,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 114 Holdings,Germany,Ingram Micro,Renewal,7 - Closed Won,203000,2027-01-07
DR-1988,19/11/2025,Lukas Brandt,Tobias Frank,DACH,Account 388 GmbH,Germany,Arrow ECS,Renewal,4 - Technical Validation,"$111,000",2026-05-24
DR-1104,2024-10-12,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 304 AB,Sweden,Cancom,New Business,,"$187,000",2025-01-21
DR-2667,2024-04-12,Lukas Brandt,Tobias Frank,DACH,Old Account 013,Germany,Econocom,New Business,7 - Closed Won,120000,2024-09-30
DR-1835,2025-09-24,Elena Castells,Paulo Neves,Iberia,Account 235 SpA,Spain,SHI EMEA,New Business,0 - Closed Lost,"EUR 123,000.00",2026-03-24
DR-1685,2025-06-02,Stefan Huber,,dach pod,Account 085 SAS,Switzerland,Bechtle AG,New Business,7 - Closed Won,175000,2025-09-14
DR-2318,2026-04-01,Julien Marchand,Chiara Bruno,SEMEA,Account 318 AB,Israel,Cancom,Upsell,3 - Discovery,13000,2026-10-14
DR-1390,28 Feb 2025,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 190 GmbH,Germany,Bechtle AG,Existing Business - Renewal,Expired,119000,2025-05-01
DR-2428,15 May 2026,Lukas Brandt,,dach pod,Account 028 GmbH,Switzerland,Arrow ECS,New Logo,3 - Discovery,98000,2026-07-05
DR-1984,19/11/2025,Lukas Brandt,Lena Wirth,,Account 384 SpA,Austria,Northbridge Data,Renewal,1 - Submitted,142000,2026-01-10
DR-2224,2026-03-14,Erik Lindqvist,Priya Raman,UKI & Nordics,Account 224 SAS,Finland,Ingram Micro,Existing Business - Renewal,4 - Technical Validation,"$220,000",2026-04-28
DR-1447,2025-03-23,Marco Ferrari,Chiara Bruno,Southern Europe,Account 247 Ltd,Spain,Northbridge Data,New Business,7 - Closed Won,38000,2025-09-23
DR-1500,04/04/2025,Aoife Brennan,,Nordics,Account 300 Group,Ireland,Econocom,New Business,7 - Closed Won,"$156,000",2025-10-15
DR-1019,28/09/2024,Tom Whitfield,Mollie Shaw,EMEA - Other,Account 219 SAS,Finland,Cancom,New Business,0 - Closed Lost,"$87,000",2024-10-30
DR-2590,2026-08-23,Elena Castells,Paulo Neves,EMEA - Southern Europe,Account 190 AB,Portugal,Bechtle AG,Existing Business - Renewal,5 - Proposal,238000,2026-12-11
DR-1179,2024-11-05,Julien Marchand,Chiara Bruno,SEMEA,Account 379 Holdings,Israel,Softcat,New Business,4 - Technical Validation,,2025-05-12
DR-1062,08/09/2024,Katharina Vogel,Tobias Frank,dach pod,Account 262 SpA,Austria,Softcat,New Business,Expired,,2024-12-23
DR-1234,2024-12-15,Yannis Papadakis,Chiara Bruno,Iberia,Account 034 SpA,Portugal,Computacenter,New Business,7 - Closed Won,236000,2025-03-29
DR-1434,2025-03-06,Elena Castells,Paulo Neves,SEMEA,Account 234 SpA,Greece,Ingram Micro,Existing Business - Renewal,0 - Closed Lost,"$53,000",2025-06-15
DR-1950,21/11/2025,Aoife Brennan,,EMEA - UKI & Nordics - Commercial,Account 350 Group,Norway,Cancom,Add-On,7 - Closed Won,"$138,000",2026-02-06
DR-1366,04 Feb 2025,Marco Ferrari,Chiara Bruno,Iberia,Account 166 Group,Greece,Northbridge Data,Existing Business - Renewal,,,2025-06-17
DR-2380,02 May 2026,Callum Reid,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 380 Holdings,Ireland,TD Synnex,Existing Business - Add-On,7 - Closed Won,"$51,000",2026-10-14
DR-2292,2026-04-26,Sigrid Halvorsen,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 292 Holdings,Norway,Computacenter,New Logo,4 - Technical Validation,"$33,000",2026-10-10
DR-2393,14 May 2026,Julien Marchand,,EMEA - Southern Europe,Account 393 GmbH,France,Arrow ECS,Competitive Migration,2 - Approved,,2026-11-14
DR-2329,2026-04-17,Katharina Vogel,,EMEA - DACH - Enterprise,Account 329 SpA,Switzerland,Northbridge Data,New Logo,2 - Approved,"$27,000",2026-09-17
DR-1147,2024-10-19,Stefan Huber,Lena Wirth,EMEA - DACH - Enterprise,Account 347 Ltd,Germany,TD Synnex,New Business,Expired,"$166,000",2025-03-14
DR-2048,23 Dec 2025,Stefan Huber,Lena Wirth,dach pod,Account 048 Group,Germany,Econocom,Renewal,7 - Closed Won,"EUR 144,000.00",2026-02-23
DR-1331,2025-01-20,Stefan Huber,,EMEA - Other,Account 131 SAS,Germany,Bechtle AG,New Business,7 - Closed Won,"$178,000",2025-05-06
DR-1799,2025-09-01,Tom Whitfield,Dan Eriksen,Nordics,Account 199 AB,Finland,Ingram Micro,New Business,7 - Closed Won,30000,2025-11-21
DR-1069,20/09/2024,Jonas Richter,Lena Wirth,DACH,Account 269 Group,Austria,Arrow ECS,New Business,7 - Closed Won,"$220,000",2025-02-28
DR-2596,2026-08-03,Julien Marchand,Paulo Neves,Iberia,Account 196 GmbH,France,Ingram Micro,New Logo,3 - Discovery,43000,2026-12-31
DR-1267,2025-01-07,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 067 SpA,Norway,TD Synnex,New Business,Rejected - Duplicate,"$80,000",2025-06-30
DR-1996,10/11/2025,Jonas Richter,Tobias Frank,EMEA - DACH - Enterprise,Account 396 AB,Germany,Econocom,New Logo,Expired,"$217,000",2026-01-04
DR-2451,23/06/2026,Erik Lindqvist,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 051 GmbH,United Kingdom,TD Synnex,Existing Business - Renewal,6 - Negotiation,,2026-11-02
DR-2259,2026-03-01,Katharina Vogel,Lena Wirth,dach pod,Account 259 SpA,Switzerland,Econocom,Competitive Migration,Rejected - Duplicate,"$13,000",2026-08-02
DR-1479,27/04/2025,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 279 SAS,Ireland,Softcat,New Business,7 - Closed Won,"EUR 211,000.00",2025-08-09
DR-1688,2025-06-24,Stefan Huber,Tobias Frank,DACH,Account 088 SpA,Switzerland,Arrow ECS,Existing Business - Renewal,0 - Closed Lost,"EUR 50,000.00",2026-01-01
DR-2036,28 Dec 2025,Marco Ferrari,Chiara Bruno,Southern Europe,Account 036 GmbH,Greece,Econocom,Existing Business - Renewal,Expired,93000,2026-03-03
DR-1514,05/04/2025,Elena Castells,Chiara Bruno,EMEA - Southern Europe,Account 314 Ltd,Italy,Econocom,New Business,Expired,"$233,000",2025-05-12
DR-2317,2026-04-22,Marco Ferrari,,Iberia,Account 317 SAS,Italy,Computacenter,Renewal,1 - Submitted,"EUR 147,000.00",2026-08-14
DR-1047,17/09/2024,Julien Marchand,Paulo Neves,EMEA - Southern Europe,Account 247 GmbH,Portugal,Computacenter,New Business,1 - Submitted,,2025-01-15
DR-1769,2025-08-05,Aoife Brennan,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 169 Holdings,Denmark,Softcat,New Business,0 - Closed Lost,"$93,000",2025-09-18
DR-1487,28/04/2025,Aoife Brennan,Priya Raman,Nordics,Account 287 Ltd,Finland,Cancom,New Business,Rejected - Duplicate,35000,2025-07-26
DR-2303,2026-04-25,Callum Reid,Dan Eriksen,UKI & Nordics,Account 303 Ltd,Norway,Computacenter,Add-On,0 - Closed Lost,"$66,000",2026-10-21
DR-1170,2024-11-26,Niamh O'Connor,,EMEA - UKI & Nordics - Commercial,Account 370 SAS,Finland,Econocom,New Business,0 - Closed Lost,"EUR 51,000.00",2025-05-27
DR-2202,2026-03-23,Callum Reid,,UKI/Nordics,Account 202 GmbH,Ireland,Softcat,Existing Business - Renewal,4 - Technical Validation,"EUR 9,000.00",2026-07-24
DR-1931,2025-10-06,Nadia Keller,Tobias Frank,dach pod,Account 331 SpA,Switzerland,Econocom,Existing Business - Renewal,7 - Closed Won,"EUR 206,000.00",2026-01-16
